experiment_storage_method,query_name,query_completion_time_sec
file_in_memory,exp_summary,1.440
file_in_memory,exp_summary,1.320
file_in_memory,exp_summary,1.510
file_in_memory,exp_summary,1.540
file_in_memory,exp_summary,1.470
file_in_memory,client_stats,0.988
file_in_memory,client_stats,0.710
file_in_memory,client_stats,0.667
file_in_memory,client_stats,0.728
file_in_memory,client_stats,0.676
file_in_memory,effective_attack_rate,2.540
file_in_memory,effective_attack_rate,1.380
file_in_memory,effective_attack_rate,1.260
file_in_memory,effective_attack_rate,1.240
file_in_memory,effective_attack_rate,0.971
file_in_memory,attack_msg_rtts,6.410
file_in_memory,attack_msg_rtts,6.000
file_in_memory,attack_msg_rtts,5.890
file_in_memory,attack_msg_rtts,5.910
file_in_memory,attack_msg_rtts,5.110
file_lazy,exp_summary,9.310
file_lazy,exp_summary,9.070
file_lazy,exp_summary,6.460
file_lazy,exp_summary,7.400
file_lazy,exp_summary,6.570
file_lazy,client_stats,16.900
file_lazy,client_stats,13.800
file_lazy,client_stats,14.300
file_lazy,client_stats,14.600
file_lazy,client_stats,14.400
file_lazy,effective_attack_rate,6.530
file_lazy,effective_attack_rate,6.210
file_lazy,effective_attack_rate,7.050
file_lazy,effective_attack_rate,7.120
file_lazy,effective_attack_rate,6.810
file_lazy,attack_msg_rtts,23.800
file_lazy,attack_msg_rtts,23.600
file_lazy,attack_msg_rtts,23.500
file_lazy,attack_msg_rtts,23.100
file_lazy,attack_msg_rtts,23.300
postgres,exp_summary,0.996
postgres,exp_summary,0.813
postgres,exp_summary,0.776
postgres,exp_summary,0.760
postgres,exp_summary,0.777
postgres,client_stats,0.506
postgres,client_stats,0.406
postgres,client_stats,0.510
postgres,client_stats,0.409
postgres,client_stats,0.402
postgres,effective_attack_rate,1.800
postgres,effective_attack_rate,2.200
postgres,effective_attack_rate,2.100
postgres,effective_attack_rate,2.300
postgres,effective_attack_rate,2.200
postgres,attack_msg_rtts,23.300
postgres,attack_msg_rtts,21.900
postgres,attack_msg_rtts,22.400
postgres,attack_msg_rtts,21.900
postgres,attack_msg_rtts,22.300
clickhouse,exp_summary,0.112
clickhouse,exp_summary,0.100
clickhouse,exp_summary,0.666
clickhouse,exp_summary,0.067
clickhouse,exp_summary,0.164
clickhouse,client_stats,0.233
clickhouse,client_stats,0.271
clickhouse,client_stats,0.182
clickhouse,client_stats,0.387
clickhouse,client_stats,0.193
clickhouse,effective_attack_rate,0.558
clickhouse,effective_attack_rate,0.725
clickhouse,effective_attack_rate,0.503
clickhouse,effective_attack_rate,0.539
clickhouse,effective_attack_rate,0.551
clickhouse,attack_msg_rtts,7.400
clickhouse,attack_msg_rtts,7.900
clickhouse,attack_msg_rtts,7.200
clickhouse,attack_msg_rtts,7.400
clickhouse,attack_msg_rtts,7.300
